Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
login,Chrome 103.0.5060.114,,,2022-07-26 17:55:24,2022-07-26 17:58:45,3m - 21.237s,PASSED
,,,,,,,
Test Cases/Login/Login001,Chrome 103.0.5060.114,Design Mockup,,2022-07-26 17:55:26,2022-07-26 17:55:43,17.091s,PASSED
"openBrowser("""")",Chrome 103.0.5060.114,,,2022-07-26 17:55:28,2022-07-26 17:55:35,6.574s,PASSED
navigateToUrl(url),Chrome 103.0.5060.114,,,2022-07-26 17:55:35,2022-07-26 17:55:38,3.582s,PASSED
"click(findTestObject(""Object Repository/Login/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 103.0.5060.114,,,2022-07-26 17:55:38,2022-07-26 17:55:40,1.609s,PASSED
takeFullPageScreenshot(),Chrome 103.0.5060.114,,,2022-07-26 17:55:40,2022-07-26 17:55:43,2.806s,PASSED
,,,,,,,
Test Cases/Login/Login002,Chrome 103.0.5060.114,"User masuk halaman login 
dengan klik make Appoinment (Valid Scenario)",,2022-07-26 17:55:43,2022-07-26 17:55:53,9.483s,PASSED
navigateToUrl(url),Chrome 103.0.5060.114,,,2022-07-26 17:55:46,2022-07-26 17:55:46,0.521s,PASSED
"click(findTestObject(""Object Repository/Login/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 103.0.5060.114,,,2022-07-26 17:55:46,2022-07-26 17:55:47,1.266s,PASSED
delay(2),Chrome 103.0.5060.114,,,2022-07-26 17:55:47,2022-07-26 17:55:50,2.185s,PASSED
takeFullPageScreenshot(),Chrome 103.0.5060.114,,,2022-07-26 17:55:50,2022-07-26 17:55:53,2.897s,PASSED
,,,,,,,
Test Cases/Login/Login003,Chrome 103.0.5060.114,"""User masuk halaman login 
dengan klik make Appoinment""",,2022-07-26 17:55:53,2022-07-26 17:56:02,9.072s,PASSED
navigateToUrl(url),Chrome 103.0.5060.114,,,2022-07-26 17:55:55,2022-07-26 17:55:56,0.540s,PASSED
"click(findTestObject(""Object Repository/Login/Page_CURA Healthcare Service/i_CURA Healthcare_fa fa-bars""))",Chrome 103.0.5060.114,,,2022-07-26 17:55:56,2022-07-26 17:55:56,0.741s,PASSED
"click(findTestObject(""Object Repository/Login/Page_CURA Healthcare Service/a_Login""))",Chrome 103.0.5060.114,,,2022-07-26 17:55:56,2022-07-26 17:55:58,1.252s,PASSED
delay(2),Chrome 103.0.5060.114,,,2022-07-26 17:55:58,2022-07-26 17:56:00,2.038s,PASSED
takeFullPageScreenshot(),Chrome 103.0.5060.114,,,2022-07-26 17:56:00,2022-07-26 17:56:02,2.240s,PASSED
,,,,,,,
Test Cases/Login/Login004,Chrome 103.0.5060.114,Input Username dan password dengan sesuai dengan info demo account dengan cara ketik,,2022-07-26 17:56:02,2022-07-26 17:56:15,12.981s,PASSED
navigateToUrl(url),Chrome 103.0.5060.114,,,2022-07-26 17:56:05,2022-07-26 17:56:05,0.447s,PASSED
"click(findTestObject(""Object Repository/Login/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 103.0.5060.114,,,2022-07-26 17:56:05,2022-07-26 17:56:06,1.182s,PASSED
"setText(findTestObject(""Object Repository/Login/Page_CURA Healthcare Service/input_Username_username""), username)",Chrome 103.0.5060.114,,,2022-07-26 17:56:06,2022-07-26 17:56:07,1.269s,PASSED
"setText(findTestObject(""Object Repository/Login/Page_CURA Healthcare Service/input_Password_password""), password)",Chrome 103.0.5060.114,,,2022-07-26 17:56:07,2022-07-26 17:56:09,1.153s,PASSED
