Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Chek History,Chrome 103.0.5060.114,,,2022-07-26 18:09:49,2022-07-26 18:10:47,57.550s,PASSED
,,,,,,,
Test Cases/Login/Login006,Chrome 103.0.5060.114,input data username dan password invalid,,2022-07-26 18:09:51,2022-07-26 18:10:13,22.060s,PASSED
"openBrowser("""")",Chrome 103.0.5060.114,,,2022-07-26 18:09:54,2022-07-26 18:10:00,6.109s,PASSED
navigateToUrl(url),Chrome 103.0.5060.114,,,2022-07-26 18:10:00,2022-07-26 18:10:03,3.080s,PASSED
"click(findTestObject(""Object Repository/Login/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 103.0.5060.114,,,2022-07-26 18:10:03,2022-07-26 18:10:04,1.600s,PASSED
"setText(findTestObject(""Object Repository/Login/Page_CURA Healthcare Service/input_Username_username""), username)",Chrome 103.0.5060.114,,,2022-07-26 18:10:04,2022-07-26 18:10:06,1.282s,PASSED
"setText(findTestObject(""Object Repository/Login/Page_CURA Healthcare Service/input_Password_password""), password)",Chrome 103.0.5060.114,,,2022-07-26 18:10:06,2022-07-26 18:10:07,1.298s,PASSED
"click(findTestObject(""Object Repository/Login/Page_CURA Healthcare Service/button_Login""))",Chrome 103.0.5060.114,,,2022-07-26 18:10:07,2022-07-26 18:10:09,1.688s,PASSED
delay(2),Chrome 103.0.5060.114,,,2022-07-26 18:10:09,2022-07-26 18:10:11,2.219s,PASSED
takeFullPageScreenshot(),Chrome 103.0.5060.114,,,2022-07-26 18:10:11,2022-07-26 18:10:13,2.426s,PASSED
,,,,,,,
Test Cases/Make Appointment/MK015,Chrome 103.0.5060.114,User Klik book Appoinment,,2022-07-26 18:10:14,2022-07-26 18:10:37,23.680s,PASSED
"openBrowser("""")",Chrome 103.0.5060.114,,,2022-07-26 18:10:16,2022-07-26 18:10:18,2.182s,PASSED
navigateToUrl(url),Chrome 103.0.5060.114,,,2022-07-26 18:10:18,2022-07-26 18:10:21,2.966s,PASSED
"click(findTestObject(""Object Repository/Makeappoinment/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 103.0.5060.114,,,2022-07-26 18:10:21,2022-07-26 18:10:22,1.208s,PASSED
"doubleClick(findTestObject(""Object Repository/Makeappoinment/Page_CURA Healthcare Service/input_Demo account_form-control""))",Chrome 103.0.5060.114,,,2022-07-26 18:10:22,2022-07-26 18:10:24,1.047s,PASSED
"click(findTestObject(""Object Repository/Makeappoinment/Page_CURA Healthcare Service/input_Demo account_form-control""))",Chrome 103.0.5060.114,,,2022-07-26 18:10:24,2022-07-26 18:10:24,0.778s,PASSED
